Index;n_steps;Python;Cython
0;100000;0.10967795716391669;0.004427247577243381
1;200000;0.2194136381149292;0.008821301990085177
2;300000;0.5245863397916158;0.023003088103400335
3;400000;0.4394325812657674;0.01794444852405124
4;500000;0.5528415176603529;0.023014850086636014
5;600000;0.6678422623210483;0.02764614423116048
6;700000;0.770993279086219;0.031492922041151256
7;800000;0.8782702022128634;0.0360053645239936
8;900000;1.003.198.504.447.930;0.041151589817470975
9;1000000;11.110.261.347.558.700;0.045741650793287486
